experiment_id,canonical_name,namespace,role,relationship_to_EXP-037,normalized_primary_delta,folds_positive,folds_total,comparison_class,evidence_strength,independent_renewal:EXP-027,team_a_current:EXP-003,team_a_current:EXP-005,team_a_current:EXP-006,team_a_current:EXP-014,team_a_current:EXP-016,team_a_current:EXP-017,team_a_current:EXP-018,team_a_current:EXP-025,team_a_current:EXP-026,team_a_current:EXP-027,team_a_current:EXP-030,team_a_current:EXP-032,team_a_current:EXP-032B,team_a_current:EXP-035,team_a_current:EXP-036,team_a_current:EXP-037,team_a_current:EXP-038,team_a_current:EXP-040,team_a_current:EXP-047,team_a_current:EXP-049,team_a_current:EXP-051,team_a_current:EXP-059,team_a_current:RUN-S04-LGB,team_a_s2:EXP-010,team_a_s2:EXP-011,team_b_alt:EXP-002,team_b_alt:EXP-004,team_b_alt:EXP-005,team_b_alt:EXP-006,team_b_alt:EXP-008,team_b_alt:EXP-009,team_b_alt:EXP-013,team_b_alt:EXP-016,team_b_alt:EXP-017,team_b_core:EXP-004,team_b_core:EXP-009,team_b_core:EXP-012,team_b_core:EXP-013,team_b_core:EXP-014,team_b_core:EXP-015,team_b_core:EXP-017,team_b_core:EXP-020,team_b_core:EXP-021,team_b_core:EXP-023,team_b_core:EXP-024,team_b_core:EXP-025,team_b_core:EXP-026
team_a_current:EXP-036,ETX sparse event transformer,team_a_current,etx_representation,absorbed_or_nested_in_EXP-037,-0.0008234868799181783,coauthor 4/4,4,team_a_current:calibrated_temporal_4fold_wcv_1_2_4_8,machine_artifact_or_run_metric_plus_primary_report,U,N,N,N,N,C,C,C,N,N,N,C,C,C,T+,SELF,T+,C,A?,A?,A?,A?,A?,C,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U
team_a_current:EXP-037,ETX-AVG3 strongest-current ensemble,team_a_current,champion_composition,absorbed_or_nested_in_EXP-037,-0.0008329218092413271,4,4,team_a_current:calibrated_temporal_4fold_wcv_1_2_4_8,machine_artifact_or_run_metric_plus_primary_report,U,N,N,N,N,C,C,C,N,N,N,C,C,C,T+,T+,SELF,C,A?,A?,A?,A?,A?,C,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U
team_a_current:EXP-038,FNL future-funnel auxiliary targets,team_a_current,future_funnel_auxiliary_target,alternative_to_current_component,-0.0012200532320629787,inconclusive,1,team_a_current:single_fold_protocol,machine_artifact_or_run_metric_plus_primary_report,U,C,C,C,C,C,C,C,X,C,C,X,X,X,C,C,C,SELF,A?,A?,A?,A?,A?,C,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U
team_a_current:EXP-040,Fresh-contrast MoE residual,team_a_current,fresh_residual_correction,not_in_champion; pairable_OOF_candidate,-0.00022495613042393297,4,4,team_a_current:calibrated_temporal_4fold_nested_lofo,machine_artifact_or_run_metric_plus_primary_report,U,A?,A?,A?,A?,A?,A?,A?,A?,A?,A?,A?,A?,A?,A?,A?,A?,A?,SELF,A-,A-,A-,A?,A?,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U
team_a_current:EXP-047,Daily BG/NBD residual,team_a_current,btyd_residual_correction,not_in_champion; pairable_OOF_candidate,-0.00026918433124996827,4,4,team_a_current:calibrated_temporal_4fold_nested_lofo,machine_artifact_or_run_metric_plus_primary_report,U,A?,A?,A?,A?,A?,A?,A?,A?,A?,A?,A?,A?,A?,A?,A?,A?,A?,A-,SELF,N,A?,A+,A?,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U
team_a_current:EXP-049,Same-fold selection-mismatch follow-up,team_a_current,btyd_plus_fresh_compound,compound_OOF_only; missing_FRESH_test_support,-0.0005466676510642429,3,3,team_a_current:three_fold_protocol,machine_artifact_or_run_metric_plus_primary_report,U,A?,A?,A?,A?,A?,A?,A?,A?,A?,A?,A?,A?,A?,A?,A?,A?,A?,A-,N,SELF,A?,A?,A?,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U
team_a_current:EXP-051,Stable BG/NBD production,team_a_current,btyd_production_revalidation,not_in_champion; production-ready_revalidation_of_EXP-047,-0.00026918201136146475,4,4,team_a_current:calibrated_temporal_4fold_nested_lofo,machine_artifact_or_run_metric_plus_primary_report,U,A?,A?,A?,A?,A?,A?,A?,A?,A?,A?,A?,A?,A?,A?,A?,A?,A?,A-,A?,A?,SELF,A+,A?,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U
team_a_current:EXP-059,SEQ65 temporal-heavy blend,team_a_current,sequence_slot_reweight,not_in_champion; pairable_OOF_candidate,-0.00023789771927185122,4,4,team_a_current:informational_4fold_not_decision_metric,machine_artifact_or_run_metric_plus_primary_report,U,A?,A?,A?,A?,A?,A?,A?,A?,A?,A?,A?,A?,A?,A?,A?,A?,A?,A?,A+,A?,A+,SELF,A?,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U
team_a_current:RUN-S04-LGB,STRATEGY_04_S04_conditional_fresh_LGB,team_a_current,conditional_fresh_tabular,not_absorbed_or_transfer_unproven,-0.0005648515957166792,4,4,team_a_current:calibrated_temporal_4fold_wcv_1_2_4_8,machine_artifact_and_checksum_reconstruction,U,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,A?,A?,A?,A?,A?,SELF,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U
team_a_s2:EXP-010,S2-E01 count hurdle,team_a_s2,structural_count_hurdle,parallel_pipeline_or_protocol; not_absorbed,-0.0082996782,1,1,team_a_s2:single_fold_protocol,tier2_machine_artifact+primary_report,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,SELF,C,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U
team_a_s2:EXP-011,S2-E02 EB shrinkage and sigma ablation,team_a_s2,structural_monetary_shrinkage,parallel_pipeline_or_protocol; not_absorbed,-0.00089334,K5 vs K3 2/2,2,team_a_s2:exp-011:comparability_unconfirmed,tier2_machine_artifact+primary_report,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,C,SELF,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U
team_b_alt:EXP-002,Alt conversion features,team_b_alt,team_b_alt_tabular_models_and_feature_engineering,parallel_pipeline_or_protocol; not_absorbed,-0.000276,1,1,team_b_alt:single_fold_protocol,primary_report_only,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,SELF,C,C,R,C,C,C,R,C,U,U,U,U,U,U,U,U,U,U,U,U,U
team_b_alt:EXP-004,Alt recency features,team_b_alt,team_b_alt_temporal_history_and_calendar,parallel_pipeline_or_protocol; not_absorbed,-0.000578,1,1,team_b_alt:single_fold_protocol,primary_report_only,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,C,SELF,C,C,C,C,C,C,C,U,U,U,U,U,U,U,U,U,U,U,U,U
team_b_alt:EXP-005,Alt scale calibration,team_b_alt,team_b_alt_calibration_and_postprocessing,parallel_pipeline_or_protocol; not_absorbed,-0.038447,1,1,team_b_alt:single_fold_protocol,primary_report_only,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,C,C,SELF,C,C,C,C,C,C,U,U,U,U,U,U,U,U,U,U,U,U,U
team_b_alt:EXP-006,Alt LightGBM baseline replacement,team_b_alt,team_b_alt_tabular_models_and_feature_engineering,parallel_pipeline_or_protocol; not_absorbed,-0.001052,1,1,team_b_alt:single_fold_protocol,primary_report_only,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,R,C,C,SELF,C,C,C,R,C,U,U,U,U,U,U,U,U,U,U,U,U,U
team_b_alt:EXP-008,Alt recency LightGBM scale stack,team_b_alt,team_b_alt_ensembles_stacking_and_component_selection,parallel_pipeline_or_protocol; not_absorbed,-0.039556,1,1,team_b_alt:single_fold_protocol,primary_report_only; rounded LB,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,C,C,C,C,SELF,R,C,C,R,U,U,U,U,U,U,U,U,U,U,U,U,U
team_b_alt:EXP-009,Alt long-buy ensemble,team_b_alt,team_b_alt_ensembles_stacking_and_component_selection,parallel_pipeline_or_protocol; not_absorbed,-0.000923,1,1,team_b_alt:single_fold_protocol,primary_report_only; exact LB but artifact/platform unverified,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,C,C,C,C,R,SELF,C,C,R,U,U,U,U,U,U,U,U,U,U,U,U,U
team_b_alt:EXP-013,Alt fine scale grid on main validation,team_b_alt,team_b_alt_validation_reproducibility_and_diagnostics,parallel_pipeline_or_protocol; not_absorbed,-0.001023,endpoint-dependent,2,team_b_alt:two_fold_temporal_rmsle,primary_report_only; LB exact but unbacked,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,C,C,C,C,C,C,SELF,C,C,U,U,U,U,U,U,U,U,U,U,U,U,U
team_b_alt:EXP-016,Alt post-order activity features,team_b_alt,team_b_alt_tabular_models_and_feature_engineering,parallel_pipeline_or_protocol; not_absorbed,-0.000124,2,2,team_b_alt:two_fold_temporal_rmsle,primary_report_only; exact LB unbacked,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,R,C,C,R,C,C,C,SELF,C,U,U,U,U,U,U,U,U,U,U,U,U,U
team_b_alt:EXP-017,Alt dist-head post-order ensemble,team_b_alt,team_b_alt_ensembles_stacking_and_component_selection,parallel_pipeline_or_protocol; not_absorbed,-0.000588,2,2,team_b_alt:two_fold_temporal_rmsle,primary_report_only; exact LB unbacked,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,C,C,C,C,R,R,C,C,SELF,U,U,U,U,U,U,U,U,U,U,U,U,U
team_b_core:EXP-004,Core EWM aggregates,team_b_core,team_b_core_temporal_history_and_calendar,parallel_pipeline_or_protocol; not_absorbed,-0.000292,1,2,team_b_core:two_fold_decision_mean_with_fold3_diagnostic,primary_report_only,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,SELF,C,C,C,C,C,C,C,C,C,C,C,R
team_b_core:EXP-009,Core search/catalog split,team_b_core,team_b_core_tabular_models_and_feature_engineering,parallel_pipeline_or_protocol; not_absorbed,-0.000215,2,2,team_b_core:two_fold_decision_mean_with_fold3_diagnostic,primary_report_only,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,C,SELF,C,C,C,C,C,R,R,C,C,C,C
team_b_core:EXP-012,Core p99.9 target clipping,team_b_core,team_b_core_target_distribution_and_decomposition,parallel_pipeline_or_protocol; not_absorbed,-0.000107,1,2,team_b_core:two_fold_decision_mean_with_fold3_diagnostic,primary_report_only,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,C,C,SELF,C,C,C,C,C,C,C,C,R,C
team_b_core:EXP-013,Core five-seed bagging,team_b_core,team_b_core_ensembles_stacking_and_component_selection,parallel_pipeline_or_protocol; not_absorbed,-0.000651,2,2,team_b_core:two_fold_decision_mean_with_fold3_diagnostic,primary_report_only,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,C,C,C,SELF,R,C,C,C,C,C,C,C,C
team_b_core:EXP-014,Core second-LightGBM blend,team_b_core,team_b_core_ensembles_stacking_and_component_selection,parallel_pipeline_or_protocol; not_absorbed,-0.000504,2,2,team_b_core:two_fold_decision_mean_with_fold3_diagnostic,primary_report_only,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,C,C,C,R,SELF,C,C,C,C,C,C,C,C
team_b_core:EXP-015,Core fixed log calibration shift,team_b_core,team_b_core_calibration_and_postprocessing,parallel_pipeline_or_protocol; not_absorbed,-0.00828,2,2,team_b_core:two_fold_decision_mean_with_fold3_diagnostic,local and LB primary_report_only; LB rounded,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,C,C,C,C,C,SELF,R,C,C,C,C,C,C
team_b_core:EXP-017,Core min-leaf50 on calibrated baseline,team_b_core,team_b_core_calibration_and_postprocessing,parallel_pipeline_or_protocol; not_absorbed,-0.000105,1,2,team_b_core:two_fold_decision_mean_with_fold3_diagnostic,primary_report_only,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,C,C,C,C,C,R,SELF,C,C,C,C,C,C
team_b_core:EXP-020,Core learning-rate0.03,team_b_core,team_b_core_tabular_models_and_feature_engineering,parallel_pipeline_or_protocol; not_absorbed,-0.000103,1,2,team_b_core:two_fold_decision_mean_with_fold3_diagnostic,primary_report_only,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,C,R,C,C,C,C,C,SELF,R,C,C,C,C
team_b_core:EXP-021,Core G15 combo,team_b_core,team_b_core_tabular_models_and_feature_engineering,parallel_pipeline_or_protocol; not_absorbed,-0.000428,2,2,team_b_core:two_fold_decision_mean_with_fold3_diagnostic,primary_report_only,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,C,R,C,C,C,C,C,R,SELF,C,C,C,C
team_b_core:EXP-023,Core CatBoost blend diagnostic,team_b_core,team_b_core_validation_reproducibility_and_diagnostics,parallel_pipeline_or_protocol; not_absorbed,-0.000958,2,2,team_b_core:two_fold_decision_mean_with_fold3_diagnostic,primary_report_only,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,C,C,C,C,C,C,C,C,C,SELF,R,C,C
team_b_core:EXP-024,Core post-G14 diagnostics,team_b_core,team_b_core_validation_reproducibility_and_diagnostics,parallel_pipeline_or_protocol; not_absorbed,-0.000592,2,2,team_b_core:two_fold_decision_mean_with_fold3_diagnostic,primary_report_only,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,C,C,C,C,C,C,C,C,C,R,SELF,C,C
team_b_core:EXP-025,Core funnel features,team_b_core,team_b_core_target_distribution_and_decomposition,parallel_pipeline_or_protocol; not_absorbed,-0.000173,1,2,team_b_core:two_fold_decision_mean_with_fold3_diagnostic,primary_report_only,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,C,C,R,C,C,C,C,C,C,C,C,SELF,C
team_b_core:EXP-026,Core last7/prev7 activity trend,team_b_core,team_b_core_temporal_history_and_calendar,parallel_pipeline_or_protocol; not_absorbed,-0.000205,2,2,team_b_core:two_fold_decision_mean_with_fold3_diagnostic,primary_report_only,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,R,C,C,C,C,C,C,C,C,C,C,C,SELF
