contradiction_id,experiment_id,category,statement,source_a,source_b,resolution,impact
C0013,team_a_current:EXP-023,missing_evidence_or_provenance_gap,No SHA-bound leaderboard event is present in this evidence zone.,experiments/team_a_current/exp_023_holiday_yoy.md,"[""research/strategies/results/HOLIDAY-YOY/{diagnostic_summary.json,fast_summary.json,fast_cv_folds.csv}; artifacts/oof_HOLIDAY-YOY-FAST.npz; artifacts/ztest_HOLIDAY-YOY-FAST.npy; submissions/submission_HOLIDAY-YOY.csv sha256:41c551a62a663d29382d3d82274f075f223ffe8e0989ecef4c71efd53e9456aa; src/holiday_yoy.py"",""strong machine JSON/OOF + exact submission reconstruction"",""submission exists; partial DIST retrain stopped after two folds""]",retained without guessing; see experiment FACTS and INTERPRETATION,"metric, verdict, provenance, or reproducibility must be read with the stated caveat"
C0014,team_b_alt:EXP-010,audit_caveat,"semantic rerun family with EXP-015, but validation and fixed scale differ",experiments/team_b_alt/exp_010_ensemble_tuning.md,"[""two named CSVs and grid output absent""]",retained without guessing; see experiment FACTS and INTERPRETATION,"metric, verdict, provenance, or reproducibility must be read with the stated caveat"
C0015,team_a_current:EXP-024,audit_caveat,"The relevant causal contrast is FULL-vs-SELF (near zero), not FULL-vs-S1-DIST-MIX; mixing them would overstate the result.",experiments/team_a_current/exp_024_multihorizon_hazard.md,"[""OOF references exist"",""artifacts/oof_MHZ-{BASE,SELF,P30,FULL}.npz; artifacts/report_MHZ-{BASE,SELF,P30,FULL}.json; research/strategies/results/MHZ/*.csv; src/mhz.py"",""strong full OOF/report JSON and diagnostic CSVs""]",retained without guessing; see experiment FACTS and INTERPRETATION,"metric, verdict, provenance, or reproducibility must be read with the stated caveat"
C0016,team_a_current:EXP-025,comparability_warning,Standalone SEQ is worse than the tabular mixture while the ensemble is better; these are distinct metrics.,experiments/team_a_current/exp_025_sequence_encoder.md,"[""artifacts/oof_SEQ-01-S42.npz; artifacts/oof_S1-{E10,E02,E03a,DIST}.npz; research/strategies/results/SEQ/*.csv; artifacts/ztest_SEQ-01.npy; submissions/submission_SEQ01_mix.csv sha256:ce2f535561a3673c29726833b96fa4444e3b3dc51912c58799ea55a41ef67964; src/seq.py"",""sequence OOF/test references and submission exist"",""strong OOF component banks + exact reconstructed mix and submission""]",retained without guessing; see experiment FACTS and INTERPRETATION,"metric, verdict, provenance, or reproducibility must be read with the stated caveat"
C0017,team_a_current:EXP-025,audit_caveat,The report-only LB event is not SHA-bound inside this evidence pass.,experiments/team_a_current/exp_025_sequence_encoder.md,"[""artifacts/oof_SEQ-01-S42.npz; artifacts/oof_S1-{E10,E02,E03a,DIST}.npz; research/strategies/results/SEQ/*.csv; artifacts/ztest_SEQ-01.npy; submissions/submission_SEQ01_mix.csv sha256:ce2f535561a3673c29726833b96fa4444e3b3dc51912c58799ea55a41ef67964; src/seq.py"",""sequence OOF/test references and submission exist"",""strong OOF component banks + exact reconstructed mix and submission""]",retained without guessing; see experiment FACTS and INTERPRETATION,"metric, verdict, provenance, or reproducibility must be read with the stated caveat"
C0018,team_a_current:EXP-026,contradiction_or_documented_tension,stale report: 'not sent' and full-depth-safe interpretation are superseded by EXP-027,experiments/team_a_current/exp_026_seq_seed_averaging.md,"[""artifacts/oof_SEQ-{AVG2,AVG3}.npz; artifacts/report_SEQ-{AVG2,AVG3}.json; research/strategies/results/SEQ2/*.csv; artifacts/ztest_SEQ-01-FULL.npy; artifacts/ztest_SEQ-S{43,44}-FULL.npy; submissions/submission_SEQAVG3_mix.csv sha256:25c1cc5edc559de46c6f2950be78054dd6ece3446c901a2295fb4cbf3f66227b; src/seq.py"",""seed OOF/test references and submission exist"",""strong avg OOF banks + exact reconstructed mix and submission""]",retained without guessing; see experiment FACTS and INTERPRETATION,"metric, verdict, provenance, or reproducibility must be read with the stated caveat"
C0019,team_a_current:EXP-026,comparability_warning,"Seed averaging, ensemble weights, and test-depth policy changed together, so the submission cannot causally isolate seed averaging.",experiments/team_a_current/exp_026_seq_seed_averaging.md,"[""artifacts/oof_SEQ-{AVG2,AVG3}.npz; artifacts/report_SEQ-{AVG2,AVG3}.json; research/strategies/results/SEQ2/*.csv; artifacts/ztest_SEQ-01-FULL.npy; artifacts/ztest_SEQ-S{43,44}-FULL.npy; submissions/submission_SEQAVG3_mix.csv sha256:25c1cc5edc559de46c6f2950be78054dd6ece3446c901a2295fb4cbf3f66227b; src/seq.py"",""seed OOF/test references and submission exist"",""strong avg OOF banks + exact reconstructed mix and submission""]",retained without guessing; see experiment FACTS and INTERPRETATION,"metric, verdict, provenance, or reproducibility must be read with the stated caveat"
C0020,team_a_current:EXP-026,missing_evidence_or_provenance_gap,Exact full-depth test checkpoints for seeds 43/44 are absent although their saved test predictions exist.,experiments/team_a_current/exp_026_seq_seed_averaging.md,"[""artifacts/oof_SEQ-{AVG2,AVG3}.npz; artifacts/report_SEQ-{AVG2,AVG3}.json; research/strategies/results/SEQ2/*.csv; artifacts/ztest_SEQ-01-FULL.npy; artifacts/ztest_SEQ-S{43,44}-FULL.npy; submissions/submission_SEQAVG3_mix.csv sha256:25c1cc5edc559de46c6f2950be78054dd6ece3446c901a2295fb4cbf3f66227b; src/seq.py"",""seed OOF/test references and submission exist"",""strong avg OOF banks + exact reconstructed mix and submission""]",retained without guessing; see experiment FACTS and INTERPRETATION,"metric, verdict, provenance, or reproducibility must be read with the stated caveat"
C0021,team_a_current:EXP-026,audit_caveat,The report-only LB event is not SHA-bound inside this evidence pass.,experiments/team_a_current/exp_026_seq_seed_averaging.md,"[""artifacts/oof_SEQ-{AVG2,AVG3}.npz; artifacts/report_SEQ-{AVG2,AVG3}.json; research/strategies/results/SEQ2/*.csv; artifacts/ztest_SEQ-01-FULL.npy; artifacts/ztest_SEQ-S{43,44}-FULL.npy; submissions/submission_SEQAVG3_mix.csv sha256:25c1cc5edc559de46c6f2950be78054dd6ece3446c901a2295fb4cbf3f66227b; src/seq.py"",""seed OOF/test references and submission exist"",""strong avg OOF banks + exact reconstructed mix and submission""]",retained without guessing; see experiment FACTS and INTERPRETATION,"metric, verdict, provenance, or reproducibility must be read with the stated caveat"
C0022,team_a_current:EXP-027,contradiction_or_documented_tension,directly supersedes EXP-026 production-depth interpretation and submission-state text,experiments/team_a_current/exp_027_depth_support.md,"[""research/strategies/results/SEQ3/{alpha_curve,alpha_lopo,gating,stress_curve,stress_summary}.csv; artifacts/xdepth_SEQ-*.csv; artifacts/availprobe_SEQ-*.csv; src/seq.py"",""strong diagnostic CSVs and stored predictions; leaderboard attribution remains unbound"",""submission and depth-probe references exist""]",retained without guessing; see experiment FACTS and INTERPRETATION,"metric, verdict, provenance, or reproducibility must be read with the stated caveat"
C0023,team_a_current:EXP-027,audit_caveat,"Historical cross-depth says more days help, while test behavior reported via LB says the full-depth submission hurt; the avail≡1 probe explains a plausible confounder but the LB event is not SHA-bound here.",experiments/team_a_current/exp_027_depth_support.md,"[""research/strategies/results/SEQ3/{alpha_curve,alpha_lopo,gating,stress_curve,stress_summary}.csv; artifacts/xdepth_SEQ-*.csv; artifacts/availprobe_SEQ-*.csv; src/seq.py"",""strong diagnostic CSVs and stored predictions; leaderboard attribution remains unbound"",""submission and depth-probe references exist""]",retained without guessing; see experiment FACTS and INTERPRETATION,"metric, verdict, provenance, or reproducibility must be read with the stated caveat"
C0024,team_a_current:EXP-027,comparability_warning,"No canonical CV field is assigned because these are inference diagnostics, not a new model comparison.",experiments/team_a_current/exp_027_depth_support.md,"[""research/strategies/results/SEQ3/{alpha_curve,alpha_lopo,gating,stress_curve,stress_summary}.csv; artifacts/xdepth_SEQ-*.csv; artifacts/availprobe_SEQ-*.csv; src/seq.py"",""strong diagnostic CSVs and stored predictions; leaderboard attribution remains unbound"",""submission and depth-probe references exist""]",retained without guessing; see experiment FACTS and INTERPRETATION,"metric, verdict, provenance, or reproducibility must be read with the stated caveat"
C0025,team_a_current:EXP-028,audit_caveat,"No primary JSON/CSV/log preserves the stated row counts or leakage audit, so these facts remain report-level rather than independently machine-verified.",experiments/team_a_current/exp_028_fresh_dist_mix.md,"[""experiments/exp_028_fresh_dist_mix.md; src/config.py; src/predict.py (no EXP028 result directory, OOF, test prediction, or manifest)"",""no predictions by design"",""weak: primary experiment report and code/config inspection; no saved machine audit artifact found""]",retained without guessing; see experiment FACTS and INTERPRETATION,"metric, verdict, provenance, or reproducibility must be read with the stated caveat"
C0026,team_a_current:RUN-S04-LGB,missing_evidence_or_provenance_gap,The original blend recipe manifest/log is absent; weights were recovered by exhaustive provenance matching and are the unique 0.05-grid recipe reproducing all 250000 CSV rows exactly.,evidence/strategy_results_records.jsonl#run_s04_lgb,"[""research/strategies/results/STRATEGY_04/run.sh; artifacts/report_S04-{A,B,C}.json; artifacts/oof_S04-{A,B,C}.npz; artifacts/S04_fold_metrics_s42.csv; submissions/submission_s04_a.csv sha256:a4bf8e347548538d263f87f2d54973ced727862ad76214cadee8ad20cb48c013; submissions/submission_s04_b.csv sha256:8bf2499f9632dab79b32f0ab7b9183f2fa5519c300b0f950547248a1d6013083; submissions/submission_s04_blend.csv sha256:b515bc150e7b522d2d857fd49dde271e5b9a405e95d163e21d5436314255e0b8; src/calval.py"",""strong OOF/report JSON; final blend recipe uniquely reconstructed from stored test predictions and CSV""]",retained without guessing; see experiment FACTS and INTERPRETATION,"metric, verdict, provenance, or reproducibility must be read with the stated caveat"
C0027,team_a_current:RUN-S04-LGB,audit_caveat,This unnumbered run is distinct from later EXP032 neural conditional-head work despite reusing the same broad hypothesis.,evidence/strategy_results_records.jsonl#run_s04_lgb,"[""research/strategies/results/STRATEGY_04/run.sh; artifacts/report_S04-{A,B,C}.json; artifacts/oof_S04-{A,B,C}.npz; artifacts/S04_fold_metrics_s42.csv; submissions/submission_s04_a.csv sha256:a4bf8e347548538d263f87f2d54973ced727862ad76214cadee8ad20cb48c013; submissions/submission_s04_b.csv sha256:8bf2499f9632dab79b32f0ab7b9183f2fa5519c300b0f950547248a1d6013083; submissions/submission_s04_blend.csv sha256:b515bc150e7b522d2d857fd49dde271e5b9a405e95d163e21d5436314255e0b8; src/calval.py"",""strong OOF/report JSON; final blend recipe uniquely reconstructed from stored test predictions and CSV""]",retained without guessing; see experiment FACTS and INTERPRETATION,"metric, verdict, provenance, or reproducibility must be read with the stated caveat"
C0028,team_b_alt:EXP-011,audit_caveat,clean-CV and LB rank scales differently,experiments/team_b_alt/exp_011_dense_clean_ensemble.md,"[""no team_b_alt machine outputs/submissions""]",retained without guessing; see experiment FACTS and INTERPRETATION,"metric, verdict, provenance, or reproducibility must be read with the stated caveat"
C0029,team_b_alt:EXP-012,audit_caveat,none within coarse grid; LB evidence is duplicated from EXP-011,experiments/team_b_alt/exp_012_lb_validation_alignment.md,"[""no machine evidence""]",retained without guessing; see experiment FACTS and INTERPRETATION,"metric, verdict, provenance, or reproducibility must be read with the stated caveat"
C0030,team_b_alt:EXP-013,audit_caveat,local fine-grid ranking conflicts with LB ranking,experiments/team_b_alt/exp_013_scale_grid_main_validation.md,"[""no machine evidence""]",retained without guessing; see experiment FACTS and INTERPRETATION,"metric, verdict, provenance, or reproducibility must be read with the stated caveat"
C0031,team_b_core:EXP-005,audit_caveat,EXP-031 reports signed gain -0.000023 while normalized candidate-minus-baseline delta is +0.000023,experiments/team_b_core/exp_005_multicutoff.md,"[""code rolled back; no machine evidence; exact rerun report EXP-031 exists""]",retained without guessing; see experiment FACTS and INTERPRETATION,"metric, verdict, provenance, or reproducibility must be read with the stated caveat"
C0032,team_b_core:EXP-015,audit_caveat,local and LB directions conflict but measure different regimes,experiments/team_b_core/exp_015_calibration_shift.md,"[""commit stated; no matching machine metrics/submission artifact""]",retained without guessing; see experiment FACTS and INTERPRETATION,"metric, verdict, provenance, or reproducibility must be read with the stated caveat"
C0033,team_b_core:EXP-029,audit_caveat,local ranking and LB ranking disagree across regimes,experiments/team_b_core/exp_029_variance_predictability_hurdle.md,"[""no machine metrics or submission artifact for team_b_core""]",retained without guessing; see experiment FACTS and INTERPRETATION,"metric, verdict, provenance, or reproducibility must be read with the stated caveat"
C0034,team_b_core:EXP-030,audit_caveat,incomparable to branch CV,experiments/team_b_core/exp_030_submit_season_yoy_coefficient.md,"[""two named CSVs absent from specified evidence roots""]",retained without guessing; see experiment FACTS and INTERPRETATION,"metric, verdict, provenance, or reproducibility must be read with the stated caveat"
C0035,team_b_core:EXP-031,audit_caveat,"report prints Δ=-0.000023 as gain convention, opposite sign to normalized candidate-minus-baseline",experiments/team_b_core/exp_031_multicutoff.md,"[""referenced artifacts/audit script not present in specified evidence roots""]",retained without guessing; see experiment FACTS and INTERPRETATION,"metric, verdict, provenance, or reproducibility must be read with the stated caveat"
C0036,team_b_core:EXP-032,audit_caveat,report gain convention writes Δ=-0.003389 while normalized candidate-minus-baseline is +0.003389,experiments/team_b_core/exp_032_delta_model.md,"[""referenced audit script/log absent""]",retained without guessing; see experiment FACTS and INTERPRETATION,"metric, verdict, provenance, or reproducibility must be read with the stated caveat"
C0037,team_b_core:EXP-033,audit_caveat,incomparable to ordinary CV,experiments/team_b_core/exp_033_spring_submit.md,"[""referenced audit script and submission missing""]",retained without guessing; see experiment FACTS and INTERPRETATION,"metric, verdict, provenance, or reproducibility must be read with the stated caveat"
C0038,team_a_current:EXP-029,contradiction_or_documented_tension,The fresh BASE differs from historical SEQ seed-42; all deltas are therefore normalized only to the paired fresh BASE.,experiments/team_a_current/exp_029_seq_avail_aug.md,"[""research/strategies/results/SEQ4/{fold_V1016,depth_gate,availcurve_V1016,availprobe_V1016}.csv; artifacts/oof_SEQ-03A-*.npz; artifacts/model_SEQ-03A-*.pt; src/seq.py"",""single-fold model/metric references exist"",""strong fold/depth CSV plus OOF/checkpoints""]",retained without guessing; see experiment FACTS and INTERPRETATION,"metric, verdict, provenance, or reproducibility must be read with the stated caveat"
C0039,team_b_alt:EXP-015,audit_caveat,LB claim cannot be quantified,experiments/team_b_alt/exp_015_ensemble_weight_grid.md,"[""no machine evidence""]",retained without guessing; see experiment FACTS and INTERPRETATION,"metric, verdict, provenance, or reproducibility must be read with the stated caveat"
C0040,team_a_current:EXP-030,audit_caveat,The candidate loses badly on 2025-09-18; one TCN seed is not sufficient to resolve whether this is mechanism or seed noise.,experiments/team_a_current/exp_030_seq_depth_curriculum.md,"[""paired base/D3A OOF/model references exist"",""research/strategies/results/SEQ5/{folds,depth,crossdepth,availprobe}.csv; artifacts/oof_SEQ-D3A-{BASE-S42,S42}.npz; artifacts/model_SEQ-D3A-*.pt; src/seq.py"",""strong fold CSV, OOF and checkpoints""]",retained without guessing; see experiment FACTS and INTERPRETATION,"metric, verdict, provenance, or reproducibility must be read with the stated caveat"
C0041,team_a_current:EXP-030,audit_caveat,The EXP029 BASE V1016 artifact is reused array-identically as the EXP030 BASE V1016 artifact under a new name.,experiments/team_a_current/exp_030_seq_depth_curriculum.md,"[""paired base/D3A OOF/model references exist"",""research/strategies/results/SEQ5/{folds,depth,crossdepth,availprobe}.csv; artifacts/oof_SEQ-D3A-{BASE-S42,S42}.npz; artifacts/model_SEQ-D3A-*.pt; src/seq.py"",""strong fold CSV, OOF and checkpoints""]",retained without guessing; see experiment FACTS and INTERPRETATION,"metric, verdict, provenance, or reproducibility must be read with the stated caveat"
C0042,team_a_current:EXP-030B,audit_caveat,This one-fold result cannot be promoted to wCV; any mixed-seed four-fold estimate is explicitly incomparable.,experiments/team_a_current/exp_030b_seq_d3a_seed43.md,"[""paired seed43 fold artifacts exist"",""research/strategies/results/SEQ6/{runs,contrasts,seg_contrasts,truncation_noise}.csv; artifacts/oof_SEQ-D3A-{BASE-S43,S43}-V0918.npz; src/seq.py"",""strong runs/contrast CSV and OOF""]",retained without guessing; see experiment FACTS and INTERPRETATION,"metric, verdict, provenance, or reproducibility must be read with the stated caveat"
C0043,team_a_current:EXP-030C,comparability_warning,Primary paired-delta (-0.00094734) and the score difference of averaged OOF (-0.00070380) are both valid but different protocols; they must not be conflated.,experiments/team_a_current/exp_030c_seq_d3a_multiseed.md,"[""12 paired run artifacts referenced"",""research/strategies/results/SEQ7/{seed_folds,fold_avg,s04_folds}.csv; artifacts/oof_SEQ-D3A-G{1,2}-*.npz; artifacts/oof_SEQ-D3A-{BASE-,}AVG3.npz; src/seq.py"",""strong seed-fold CSV plus all OOF/checkpoints""]",retained without guessing; see experiment FACTS and INTERPRETATION,"metric, verdict, provenance, or reproducibility must be read with the stated caveat"
C0044,team_a_current:EXP-030C,audit_caveat,EXP030b's seed43 09-18 pair was later repeated under A10/compile in EXP030c; paired deltas agree to about 1e-5 but model artifacts are not the same run.,experiments/team_a_current/exp_030c_seq_d3a_multiseed.md,"[""12 paired run artifacts referenced"",""research/strategies/results/SEQ7/{seed_folds,fold_avg,s04_folds}.csv; artifacts/oof_SEQ-D3A-G{1,2}-*.npz; artifacts/oof_SEQ-D3A-{BASE-,}AVG3.npz; src/seq.py"",""strong seed-fold CSV plus all OOF/checkpoints""]",retained without guessing; see experiment FACTS and INTERPRETATION,"metric, verdict, provenance, or reproducibility must be read with the stated caveat"
C0045,team_a_current:EXP-032,audit_caveat,shares ID EXP-032 with uppercase manifest file,experiments/team_a_current/exp_032_s04_cond_fresh_pilot.md,"[""artifacts/S04SEQ_PILOT-S42-V*_z.npz; artifacts/S04SEQ_PILOT-S42-V*.json; research/strategies/results/SEQ7/s04_folds.csv; src/seq_cond.py"",""half-panel OOF/head artifacts referenced"",""strong fold NPZ/JSON and summary CSV""]",retained without guessing; see experiment FACTS and INTERPRETATION,"metric, verdict, provenance, or reproducibility must be read with the stated caveat"
C0046,team_a_current:EXP-032,audit_caveat,"The uppercase EXP_032_S04_conditional_fresh_seq.md is a specification document, not an independent run, and is not counted as a duplicate experiment.",experiments/team_a_current/exp_032_s04_cond_fresh_pilot.md,"[""artifacts/S04SEQ_PILOT-S42-V*_z.npz; artifacts/S04SEQ_PILOT-S42-V*.json; research/strategies/results/SEQ7/s04_folds.csv; src/seq_cond.py"",""half-panel OOF/head artifacts referenced"",""strong fold NPZ/JSON and summary CSV""]",retained without guessing; see experiment FACTS and INTERPRETATION,"metric, verdict, provenance, or reproducibility must be read with the stated caveat"
C0047,team_a_current:EXP-032,audit_caveat,Absolute group-A scores are incomparable with full-panel scores; only within-split contrasts are normalized.,experiments/team_a_current/exp_032_s04_cond_fresh_pilot.md,"[""artifacts/S04SEQ_PILOT-S42-V*_z.npz; artifacts/S04SEQ_PILOT-S42-V*.json; research/strategies/results/SEQ7/s04_folds.csv; src/seq_cond.py"",""half-panel OOF/head artifacts referenced"",""strong fold NPZ/JSON and summary CSV""]",retained without guessing; see experiment FACTS and INTERPRETATION,"metric, verdict, provenance, or reproducibility must be read with the stated caveat"
C0048,team_a_current:EXP-032B,audit_caveat,"PASS applies to the mechanism gate, not to the component as an ensemble member.",experiments/team_a_current/exp_032b_prod_extensive.md,"[""artifacts/S04PROD_S42-V*_z.npz; artifacts/S04PROD_S42-V*_mu.npz; artifacts/PACT_dist_*.npz; research/strategies/results/SEQ8/{prod_folds,prod_contrasts,mix_diversity}.csv; src/dist_pact.py; src/seq_cond.py"",""half-panel OOF/head artifacts referenced"",""strong production NPZ/JSON and analysis CSV; exact replay parity to EXP032""]",retained without guessing; see experiment FACTS and INTERPRETATION,"metric, verdict, provenance, or reproducibility must be read with the stated caveat"
C0049,team_a_current:EXP-032B,audit_caveat,"EXP032 and EXP032b share bitwise-identical conditional predictions; EXP032b is a nested composition change, not an independent retraining.",experiments/team_a_current/exp_032b_prod_extensive.md,"[""artifacts/S04PROD_S42-V*_z.npz; artifacts/S04PROD_S42-V*_mu.npz; artifacts/PACT_dist_*.npz; research/strategies/results/SEQ8/{prod_folds,prod_contrasts,mix_diversity}.csv; src/dist_pact.py; src/seq_cond.py"",""half-panel OOF/head artifacts referenced"",""strong production NPZ/JSON and analysis CSV; exact replay parity to EXP032""]",retained without guessing; see experiment FACTS and INTERPRETATION,"metric, verdict, provenance, or reproducibility must be read with the stated caveat"
C0050,team_a_current:EXP-032B,audit_caveat,Group-A scores remain incomparable to full-panel project wCV.,experiments/team_a_current/exp_032b_prod_extensive.md,"[""artifacts/S04PROD_S42-V*_z.npz; artifacts/S04PROD_S42-V*_mu.npz; artifacts/PACT_dist_*.npz; research/strategies/results/SEQ8/{prod_folds,prod_contrasts,mix_diversity}.csv; src/dist_pact.py; src/seq_cond.py"",""half-panel OOF/head artifacts referenced"",""strong production NPZ/JSON and analysis CSV; exact replay parity to EXP032""]",retained without guessing; see experiment FACTS and INTERPRETATION,"metric, verdict, provenance, or reproducibility must be read with the stated caveat"
C0051,team_a_current:EXP-035,audit_caveat,"SEQ-D3A-AVG3 is numerically better than SEQ-AVG3 in the fixed and LOFO tables, but the produced submission uses SEQ-AVG3; no machine manifest explains that choice.",experiments/team_a_current/exp_035_mix9_seq_slot.md,"[""OOF components and clip289 submission exist"",""artifacts/MIX9_lofo.json"",""artifacts/oof_SEQ-AVG3*.npz"",""artifacts/oof_SEQ-AVG3.npz"",""artifacts/report_SEQ-AVG3.json"",""artifacts/ztest_SEQ-01.npy"",""artifacts/ztest_SEQ-C289-S43.npy"",""artifacts/ztest_SEQ-C289-S44.npy"",""research/strategies/results/MIX9/lofo_mix.py"",""submissions/submission_SEQAVG3_clip289_mix.csv (sha256 da644a35ca247f6ef1a11bbf601d17515ddebf63674650f441fb9dada3389b7c)""]",retained without guessing; see experiment FACTS and INTERPRETATION,"metric, verdict, provenance, or reproducibility must be read with the stated caveat"
