source,target,edge_type,recipe_or_change,evidence,confidence
baseline_recipe:team_a_current:latest-external-canonical-solution-sought,team_a_current:EXP-066,baseline_to_change,search repository artifacts for canonical latest OOF,experiments/team_a_current/exp_066_latest_delta_compatibility.md,machine_artifact_or_run_metric_plus_primary_report
baseline_recipe:team_a_current:no-adapt-control-on-fold-2025-10-16,team_a_current:EXP-056,baseline_to_change,adapt ETX using late unlabeled data,experiments/team_a_current/exp_056_late_unlabeled_etx.md,machine_artifact_or_run_metric_plus_primary_report
baseline_recipe:team_a_current:paired-base-for-seeds42-44,team_a_current:EXP-030C,baseline_to_change,complete 3-seed x 4-fold paired verification of D3A,experiments/team_a_current/exp_030c_seq_d3a_multiseed.md,machine_artifact_or_run_metric_plus_primary_report
baseline_recipe:team_a_current:paired-base-seed43,team_a_current:EXP-030B,baseline_to_change,rerun D3A at seed43 on fold 2025-09-18,experiments/team_a_current/exp_030b_seq_d3a_seed43.md,machine_artifact_or_run_metric_plus_primary_report
baseline_recipe:team_a_current:paired-fold-2025-10-16-sequence-base,team_a_current:EXP-038,baseline_to_change,future-funnel and buyer-control auxiliary fine-tuning,experiments/team_a_current/exp_038_fnl_future_funnel.md,machine_artifact_or_run_metric_plus_primary_report
baseline_recipe:team_a_current:paired-sequence-base-seed42,team_a_current:EXP-030,baseline_to_change,depth-curriculum D3A training,experiments/team_a_current/exp_030_seq_depth_curriculum.md,machine_artifact_or_run_metric_plus_primary_report
baseline_recipe:team_a_current:plain-base-and-dist-tab-sequence-ensemble-slots-on-half-panel-a,team_a_current:EXP-032B,baseline_to_change,use production DIST probability for fresh intensity/head,experiments/team_a_current/exp_032b_prod_extensive.md,machine_artifact_or_run_metric_plus_primary_report
baseline_recipe:team_a_current:plain-paired-base-on-fold-2025-10-16,team_a_current:EXP-045,baseline_to_change,buyer-control auxiliary objective with deterministic paired seeds,experiments/team_a_current/exp_045_buyctrl_det.md,machine_artifact_or_run_metric_plus_primary_report
baseline_recipe:team_a_current:plain-seq01-paired-base-on-fold-2025-10-16,team_a_current:EXP-044,baseline_to_change,fine-tune conditional fresh-volume objective,experiments/team_a_current/exp_044_fresh_conditional_ft.md,machine_artifact_or_run_metric_plus_primary_report
baseline_recipe:team_a_current:plain-sequence-base-on-half-panel-group-a,team_a_current:EXP-032,baseline_to_change,conditional fresh-volume head,experiments/team_a_current/exp_032_s04_cond_fresh_pilot.md,machine_artifact_or_run_metric_plus_primary_report
baseline_recipe:team_a_current:prior-strongest-ensemble-sequence-slot,team_a_current:EXP-037,baseline_to_change,average ETX seeds42-44; use 50/50 ETX+SEQ slot; build strongest-current submission,experiments/team_a_current/exp_037_etx_avg3_strongest.md,machine_artifact_or_run_metric_plus_primary_report
baseline_recipe:team_a_current:s1-dist-mix,team_a_current:RUN-S04-LGB,baseline_to_change,"Train two-part centered LightGBM variants A(clean), B(clean+extra fresh conditional supervision), C(volume control), then blend S04-B with the existing S1 components.",evidence/strategy_results_records.jsonl#run_s04_lgb,machine_artifact_and_checksum_reconstruction
baseline_recipe:team_a_current:same-configuration-repeated,team_a_current:EXP-043,baseline_to_change,repeat identical run to measure run-floor variance,experiments/team_a_current/exp_043_det_pair.md,machine_artifact_or_run_metric_plus_primary_report
baseline_recipe:team_a_current:sent-seq01-sequence-slot,team_a_current:EXP-035,baseline_to_change,compare clipped SEQAVG3 and D3A-AVG3 in fixed/LOFO ensemble slot; build clip289 submission,experiments/team_a_current/exp_035_mix9_seq_slot.md,machine_artifact_or_run_metric_plus_primary_report
baseline_recipe:team_a_current:standard-3-fold-evaluation-of-btyd05-fresh1,team_a_current:EXP-049,baseline_to_change,correct comparison to same three folds and pseudo-matched construction,experiments/team_a_current/exp_049_selection_mismatch_production_followup.md,machine_artifact_or_run_metric_plus_primary_report
baseline_recipe:team_a_s2:plain-offset-poisson-structural-count,team_a_s2:EXP-010,baseline_to_change,add binary hurdle to offset-Poisson count component,experiments/team_a_s2/exp_010_s2_count_hurdle.md,tier2_machine_artifact+primary_report
baseline_recipe:team_a_s2:pure-fenton-wilkinson-aggregation,team_a_s2:EXP-009,baseline_to_change,use Sobol QMC lookup for n<=4 and FW for n>=5,experiments/team_a_s2/exp_009_s2_aggregation.md,tier2_machine_artifact+primary_report
baseline_recipe:team_a_s2:s1-best-benchmark-and-prior-s2-screens,team_a_s2:EXP-012,baseline_to_change,"freeze K5+hurdle+nested calibration; run full 4-fold CV, blend/calendar ablations, final fit",experiments/team_a_s2/exp_012_s2_best_submission.md,tier2_machine+experiment_manifest+submission_artifact; LB not platform-independently verified
baseline_recipe:team_a_s2:s2-hurdle-with-k-3,team_a_s2:EXP-011,baseline_to_change,"grid K={1,2,3,5,8,15}; nested sigma selection",experiments/team_a_s2/exp_011_s2_k_calibration.md,tier2_machine_artifact+primary_report
baseline_recipe:team_b_core:naive30-naive90-rules,team_b_core:EXP-001,baseline_to_change,establish 50-feature single-cutoff LightGBM baseline,experiments/team_b_core/exp_001_baseline_lgbm50.md,primary_report_only
baseline_recipe:team_b_core:rounded-uncalibrated-lb-baseline-and-g-hurdle-lb-candidate,team_b_core:EXP-033,baseline_to_change,train on four spring2025 plus four recent cutoffs,experiments/team_b_core/exp_033_spring_submit.md,primary_report_only; rounded LB
baseline_recipe:team_b_core:same-run-central-single-cutoff-lightgbm,team_b_core:EXP-034,baseline_to_change,log-average three neighboring train-cutoff models,experiments/team_b_core/exp_034_temporal_ensemble.md,primary_report_only
baseline_recipe:teammate_review:strongest-current-table-core,teammate_review:TM-RUN-FIXEDSTACK-20260823,baseline_to_change,"load four existing OOF experts, train two hurdle variants, evaluate fixed-stack candidates, materialize four CSVs",evidence/teammate_records.jsonl#TM-RUN-FIXEDSTACK-20260823,run_manifest_and_runtime_artifact
baseline_recipe:teammate_review:tm-run-final6h-20260823,teammate_review:TM-RUN-EXTRA90-20260823,baseline_to_change,cached-only meta/raw/hierarchical evaluation; no new raw-model training; materialize four CSVs,evidence/teammate_records.jsonl#TM-RUN-EXTRA90-20260823,run_manifest_and_runtime_artifact
baseline_recipe:teammate_review:tm-run-final6h-20260823,teammate_review:TM-TRAIN-OCC-R10-FAST,baseline_to_change,separately logged training unit inside teammate review run,evidence/teammate_records.jsonl#TM-TRAIN-OCC-R10-FAST,run_manifest_and_runtime_artifact
baseline_recipe:teammate_review:tm-run-final6h-20260823,teammate_review:TM-TRAIN-OCC-R12-WIDE,baseline_to_change,separately logged training unit inside teammate review run,evidence/teammate_records.jsonl#TM-TRAIN-OCC-R12-WIDE,run_manifest_and_runtime_artifact
baseline_recipe:teammate_review:tm-run-final6h-20260823,teammate_review:TM-TRAIN-OCC-R14-MULTISCALE,baseline_to_change,separately logged training unit inside teammate review run,evidence/teammate_records.jsonl#TM-TRAIN-OCC-R14-MULTISCALE,run_manifest_and_runtime_artifact
baseline_recipe:teammate_review:tm-run-final6h-20260823,teammate_review:TM-TRAIN-OCC-R16-BAL,baseline_to_change,separately logged training unit inside teammate review run,evidence/teammate_records.jsonl#TM-TRAIN-OCC-R16-BAL,run_manifest_and_runtime_artifact
baseline_recipe:teammate_review:tm-run-final6h-20260823,teammate_review:TM-TRAIN-OCC-R18-WIDE,baseline_to_change,separately logged training unit inside teammate review run,evidence/teammate_records.jsonl#TM-TRAIN-OCC-R18-WIDE,run_manifest_and_runtime_artifact
baseline_recipe:teammate_review:tm-run-final6h-20260823,teammate_review:TM-TRAIN-OCC-R20-SHALLOW,baseline_to_change,separately logged training unit inside teammate review run,evidence/teammate_records.jsonl#TM-TRAIN-OCC-R20-SHALLOW,run_manifest_and_runtime_artifact
baseline_recipe:teammate_review:tm-run-final6h-20260823,teammate_review:TM-TRAIN-OCC-R22-STABLE,baseline_to_change,separately logged training unit inside teammate review run,evidence/teammate_records.jsonl#TM-TRAIN-OCC-R22-STABLE,run_manifest_and_runtime_artifact
baseline_recipe:teammate_review:tm-run-final6h-20260823,teammate_review:TM-TRAIN-OCC-R24-MULTISCALE,baseline_to_change,separately logged training unit inside teammate review run,evidence/teammate_records.jsonl#TM-TRAIN-OCC-R24-MULTISCALE,run_manifest_and_runtime_artifact
baseline_recipe:teammate_review:tm-run-fixedstack-20260823,teammate_review:TM-RUN-FINAL6H-20260823,baseline_to_change,train eight occurrence models across four folds plus TEST and evaluate overlay/meta candidates,evidence/teammate_records.jsonl#TM-RUN-FINAL6H-20260823,run_manifest_and_runtime_artifact
baseline_recipe:teammate_review:tm-run-fixedstack-20260823,teammate_review:TM-TRAIN-HURDLE-FAST12,baseline_to_change,separately logged training unit inside teammate review run,evidence/teammate_records.jsonl#TM-TRAIN-HURDLE-FAST12,run_manifest_and_runtime_artifact
baseline_recipe:teammate_review:tm-run-fixedstack-20260823,teammate_review:TM-TRAIN-HURDLE-STABLE18,baseline_to_change,separately logged training unit inside teammate review run,evidence/teammate_records.jsonl#TM-TRAIN-HURDLE-STABLE18,run_manifest_and_runtime_artifact
independent_anniversary:EXP-058,submission:none; production candidate not reached,produced_or_described_submission,unknown,experiments/independent_anniversary/exp_058_exact_anniversary.md,tier2_machine_artifacts+primary_report
independent_global_regime:EXP-057,submission:none; submission_GLOBAL_REGIME_OCC.csv intentionally absent,produced_or_described_submission,unknown,experiments/independent_global_regime/exp_057_global_regime_occ.md,tier2_machine_artifacts+primary_report
independent_renewal:EXP-027,submission:none; machine JSON prepared=false,produced_or_described_submission,unknown,experiments/independent_renewal/exp_027_next_purchase_clock.md,tier2_machine_artifacts+primary_report
lineage_label:EXP-MIN,submission:experimental_submission_1.csv,component_or_lineage_to_confirmed_submission,15-feature extreme-regularization LightGBM experiment,"[""experiments/exp_007_radical_minimalism.md"",""git HEAD:experiments/submissions.csv"",""submission artifact""]",strong_repository_link
lineage_label:EXP-SIM,submission:experimental_submission_2.csv,component_or_lineage_to_confirmed_submission,0.50 S1-BEST plus 0.50 rank-cohort-similarity prediction,"[""experiments/exp_008_cohort_similarity.md"",""git HEAD:experiments/submissions.csv"",""submission artifact""]",strong_repository_link
lineage_label:S1-BEST,submission:submission_strategy_1.csv,component_or_lineage_to_confirmed_submission,"log-space blend S1-E10=0.45, S1-E02=0.45, S1-E03a=0.10; anchored level 2.3391","[""experiments/exp_006_s1_best_submission.md"",""git HEAD:experiments/submissions.csv"",""submission artifact""]",strong_repository_link
lineage_label:S1-BEST,submission:submission_strategy_1_level_high.csv,component_or_lineage_to_confirmed_submission,same S1-BEST log-space blend as submission_strategy_1.csv; only calibration level differs,"[""experiments/exp_006_s1_best_submission.md"",""git HEAD:experiments/submissions.csv"",""submission artifact""]",strong_repository_link
lineage_label:S1-BEST,submission:submission_strategy_1_level_low.csv,component_or_lineage_to_confirmed_submission,same S1-BEST log-space blend as submission_strategy_1.csv; only calibration level differs,"[""experiments/exp_006_s1_best_submission.md"",""git HEAD:experiments/submissions.csv"",""submission artifact""]",strong_repository_link
lineage_label:S1-DIST-MIX,submission:submission_dist_head.csv,component_or_lineage_to_confirmed_submission,"log-space blend S1-E10=0.15, S1-E02=0.30, S1-E03a=0.10, S1-DIST=0.45","[""experiments/exp_014_s1_dist_head.md"",""git HEAD:experiments/submissions.csv"",""submission artifact""]",strong_repository_link
lineage_label:S1-MIX-E11,submission:submission_candidate_e11mix.csv,component_or_lineage_to_confirmed_submission,"log-space blend S1-E10=0.10, S1-E02=0.35, S1-DIST=0.30, S1-E11=0.25","[""experiments/exp_016_validator_calibration.md"",""git HEAD:experiments/submissions.csv"",""submission artifact""]",strong_repository_link
lineage_label:S2-BEST,submission:submission_strategy_2.csv,component_or_lineage_to_confirmed_submission,structural offset-Poisson plus binary hurdle; K=5; sigma_scale=0.9; train-only mu_shift=-0.1; calendar alpha=0.5; final log-level 2.3293,"[""evidence/worktree_artifacts/team_a_s2/experiments/exp_012_s2_best_submission.md"",""evidence/worktree_artifacts/team_a_s2/artifacts/s2_final.json"",""evidence/worktree_artifacts_manifest.csv"",""evidence/machine_manifests/team_a_current__submissions.csv"",""copied submission artifact""]",strong_repository_link
lineage_label:SEQ-01-MIX,submission:submission_SEQ01_mix.csv,component_or_lineage_to_confirmed_submission,"log-space blend S1-NORM=0.15, S1-UNC=0.20, S1-CAP=0.10, S1-DIST=0.25, SEQ-01=0.30; SEQ test depth clipped to 289","[""experiments/exp_025_sequence_encoder.md"",""git HEAD:experiments/submissions.csv"",""submission artifact""]",strong_repository_link
lineage_label:SEQ-AVG3-MIX,submission:submission_SEQAVG3_mix.csv,component_or_lineage_to_confirmed_submission,"log-space blend S1-E10=0.10, S1-E02=0.15, S1-E03a=0.10, S1-DIST=0.20, SEQ-AVG3=0.45; full-depth test policy","[""experiments/exp_027_depth_support.md"",""git HEAD:experiments/submissions.csv"",""submission artifact""]",strong_repository_link
lineage_label:STRONGEST-CURRENT,submission:submission_STRONGEST_CURRENT.csv,component_or_lineage_to_confirmed_submission,"log-space blend S1-CAP=.10, S1-UNC=.20, S1-DIST=.25, SEQ-01=.075, SEQ-C289-S43=.075, SEQ-C289-S44=.075, ETX-01-S42-DCW=.075, ETX-01-S43-DCW=.075, ETX-01-S44-DCW=.075; shift to level 2.3293 then clip","[""experiments/exp_037_etx_avg3_strongest.md"",""пайплайн сокомандника/friend_original/submission_STRONGEST_CURRENT/docs/experiments/exp_037_etx_avg3_strongest.md"",""пайплайн сокомандника/friend_original/submission_STRONGEST_CURRENT/MANIFEST.sha256"",""submission artifact""]",strong_repository_link
lineage_label:exp_012,submission:submission_strategy_2.csv,component_or_lineage_to_confirmed_submission,structural offset-Poisson plus binary hurdle; K=5; sigma_scale=0.9; train-only mu_shift=-0.1; calendar alpha=0.5; final log-level 2.3293,"[""evidence/worktree_artifacts/team_a_s2/experiments/exp_012_s2_best_submission.md"",""evidence/worktree_artifacts/team_a_s2/artifacts/s2_final.json"",""evidence/worktree_artifacts_manifest.csv"",""evidence/machine_manifests/team_a_current__submissions.csv"",""copied submission artifact""]",strong_repository_link
lineage_label:team-a-strategy-2-impl,submission:submission_strategy_2.csv,component_or_lineage_to_confirmed_submission,structural offset-Poisson plus binary hurdle; K=5; sigma_scale=0.9; train-only mu_shift=-0.1; calendar alpha=0.5; final log-level 2.3293,"[""evidence/worktree_artifacts/team_a_s2/experiments/exp_012_s2_best_submission.md"",""evidence/worktree_artifacts/team_a_s2/artifacts/s2_final.json"",""evidence/worktree_artifacts_manifest.csv"",""evidence/machine_manifests/team_a_current__submissions.csv"",""copied submission artifact""]",strong_repository_link
team_a_current:EXP-001,team_a_current:EXP-002,baseline_to_change,training-panel rule 1 block to 3 blocks,experiments/team_a_current/exp_002_s1_e01_panel_rule.md,high_reported_metrics
team_a_current:EXP-001,team_a_current:EXP-003,baseline_to_change,training cutoffs recent-3 to all available cutoffs,experiments/team_a_current/exp_003_s1_e02_dense_cutoffs.md,high_reported_metrics
team_a_current:EXP-001,team_a_current:EXP-006,baseline_to_change,blend 0.45 NORM + 0.45 UNC + 0.10 CAP with level calibration,experiments/team_a_current/exp_006_s1_best_submission.md,high local; LB author-reported and files exist
team_a_current:EXP-003,team_a_current:EXP-004,baseline_to_change,vary lookback depth and one auxiliary construction arm,experiments/team_a_current/exp_004_s1_e03_history_depth.md,medium; multi-arm report with missing E03d log result
team_a_current:EXP-003,team_a_current:EXP-005,baseline_to_change,normalize long-window features; 227-feature set,experiments/team_a_current/exp_005_s1_e10_normalized_long.md,high_reported_metrics
team_a_current:EXP-005,team_a_current:EXP-013,baseline_to_change,two-part occurrence/amount decomposition,experiments/team_a_current/exp_013_s1_e11_two_part.md,medium_high; reconstructed from direct artifacts
team_a_current:EXP-005,team_a_current:EXP-014,baseline_to_change,16-bin multiclass distribution head and blend,experiments/team_a_current/exp_014_s1_dist_head.md,high local; LB author-reported
team_a_current:EXP-006,submission:submission_STRONGEST_CURRENT.csv,component_or_lineage_to_confirmed_submission,"log-space blend S1-CAP=.10, S1-UNC=.20, S1-DIST=.25, SEQ-01=.075, SEQ-C289-S43=.075, SEQ-C289-S44=.075, ETX-01-S42-DCW=.075, ETX-01-S43-DCW=.075, ETX-01-S44-DCW=.075; shift to level 2.3293 then clip","[""experiments/exp_037_etx_avg3_strongest.md"",""пайплайн сокомандника/friend_original/submission_STRONGEST_CURRENT/docs/experiments/exp_037_etx_avg3_strongest.md"",""пайплайн сокомандника/friend_original/submission_STRONGEST_CURRENT/MANIFEST.sha256"",""submission artifact""]",strong_repository_link
team_a_current:EXP-006,submission:submission_strategy_1.csv,component_or_lineage_to_confirmed_submission,"log-space blend S1-E10=0.45, S1-E02=0.45, S1-E03a=0.10; anchored level 2.3391","[""experiments/exp_006_s1_best_submission.md"",""git HEAD:experiments/submissions.csv"",""submission artifact""]",strong_repository_link
team_a_current:EXP-006,submission:submission_strategy_1.csv,produced_or_described_submission,unknown,experiments/team_a_current/exp_006_s1_best_submission.md,high local; LB author-reported and files exist
team_a_current:EXP-006,submission:submission_strategy_1_level_high.csv,component_or_lineage_to_confirmed_submission,same S1-BEST log-space blend as submission_strategy_1.csv; only calibration level differs,"[""experiments/exp_006_s1_best_submission.md"",""git HEAD:experiments/submissions.csv"",""submission artifact""]",strong_repository_link
team_a_current:EXP-006,submission:submission_strategy_1_level_high.csv,produced_or_described_submission,unknown,experiments/team_a_current/exp_006_s1_best_submission.md,high local; LB author-reported and files exist
team_a_current:EXP-006,submission:submission_strategy_1_level_low.csv,component_or_lineage_to_confirmed_submission,same S1-BEST log-space blend as submission_strategy_1.csv; only calibration level differs,"[""experiments/exp_006_s1_best_submission.md"",""git HEAD:experiments/submissions.csv"",""submission artifact""]",strong_repository_link
team_a_current:EXP-006,submission:submission_strategy_1_level_low.csv,produced_or_described_submission,unknown,experiments/team_a_current/exp_006_s1_best_submission.md,high local; LB author-reported and files exist
team_a_current:EXP-006,team_a_current:EXP-007,baseline_to_change,replace rich tabular representation with 15-feature model,experiments/team_a_current/exp_007_radical_minimalism.md,high local; LB author-reported
team_a_current:EXP-006,team_a_current:EXP-008,baseline_to_change,rank/cohort similarity model and 0.5 blend,experiments/team_a_current/exp_008_cohort_similarity.md,high local; LB author-reported
team_a_current:EXP-006,team_a_current:EXP-013,baseline_to_change,two-part occurrence/amount decomposition,experiments/team_a_current/exp_013_s1_e11_two_part.md,medium_high; reconstructed from direct artifacts
team_a_current:EXP-006,team_a_current:EXP-014,baseline_to_change,16-bin multiclass distribution head and blend,experiments/team_a_current/exp_014_s1_dist_head.md,high local; LB author-reported
team_a_current:EXP-007,submission:experimental_submission_1.csv,component_or_lineage_to_confirmed_submission,15-feature extreme-regularization LightGBM experiment,"[""experiments/exp_007_radical_minimalism.md"",""git HEAD:experiments/submissions.csv"",""submission artifact""]",strong_repository_link
team_a_current:EXP-007,submission:experimental_submission_1.csv,produced_or_described_submission,unknown,experiments/team_a_current/exp_007_radical_minimalism.md,high local; LB author-reported
team_a_current:EXP-008,submission:experimental_submission_2.csv,component_or_lineage_to_confirmed_submission,0.50 S1-BEST plus 0.50 rank-cohort-similarity prediction,"[""experiments/exp_008_cohort_similarity.md"",""git HEAD:experiments/submissions.csv"",""submission artifact""]",strong_repository_link
team_a_current:EXP-008,submission:experimental_submission_2.csv,produced_or_described_submission,unknown,experiments/team_a_current/exp_008_cohort_similarity.md,high local; LB author-reported
team_a_current:EXP-013,submission:submission_candidate_e11mix.csv,component_or_lineage_to_confirmed_submission,"log-space blend S1-E10=0.10, S1-E02=0.35, S1-DIST=0.30, S1-E11=0.25","[""experiments/exp_016_validator_calibration.md"",""git HEAD:experiments/submissions.csv"",""submission artifact""]",strong_repository_link
team_a_current:EXP-014,submission:submission_STRONGEST_CURRENT.csv,component_or_lineage_to_confirmed_submission,"log-space blend S1-CAP=.10, S1-UNC=.20, S1-DIST=.25, SEQ-01=.075, SEQ-C289-S43=.075, SEQ-C289-S44=.075, ETX-01-S42-DCW=.075, ETX-01-S43-DCW=.075, ETX-01-S44-DCW=.075; shift to level 2.3293 then clip","[""experiments/exp_037_etx_avg3_strongest.md"",""пайплайн сокомандника/friend_original/submission_STRONGEST_CURRENT/docs/experiments/exp_037_etx_avg3_strongest.md"",""пайплайн сокомандника/friend_original/submission_STRONGEST_CURRENT/MANIFEST.sha256"",""submission artifact""]",strong_repository_link
team_a_current:EXP-014,submission:submission_dist_head.csv,component_or_lineage_to_confirmed_submission,"log-space blend S1-E10=0.15, S1-E02=0.30, S1-E03a=0.10, S1-DIST=0.45","[""experiments/exp_014_s1_dist_head.md"",""git HEAD:experiments/submissions.csv"",""submission artifact""]",strong_repository_link
team_a_current:EXP-014,submission:submission_dist_head.csv,produced_or_described_submission,unknown,experiments/team_a_current/exp_014_s1_dist_head.md,high local; LB author-reported
team_a_current:EXP-014,team_a_current:EXP-015,baseline_to_change,use 24 rather than 29 cutoffs for final-fold/test production,experiments/team_a_current/exp_015_last_fold_only.md,medium; exact LB-to-file mapping absent
team_a_current:EXP-014,team_a_current:EXP-016,baseline_to_change,introduce calibrated 1:2:4:8 wCV/LOFO selection and assess MIX-E11,experiments/team_a_current/exp_016_validator_calibration.md,high local; LB author-reported
team_a_current:EXP-014,team_a_current:EXP-023,baseline_to_change,fixed holiday/YoY residual correction,experiments/team_a_current/exp_023_holiday_yoy.md,machine_artifact_or_run_metric_plus_primary_report
team_a_current:EXP-014,team_a_current:EXP-024,baseline_to_change,auxiliary multi-horizon hazard/count stack variants,experiments/team_a_current/exp_024_multihorizon_hazard.md,machine_artifact_or_run_metric_plus_primary_report
team_a_current:EXP-014,team_a_current:EXP-025,baseline_to_change,add raw 17x365 TCN sequence component and blend,experiments/team_a_current/exp_025_sequence_encoder.md,machine_artifact_or_run_metric_plus_primary_report
team_a_current:EXP-014,team_a_current:EXP-026,baseline_to_change,average 2/3 independently seeded TCN encoders,experiments/team_a_current/exp_026_seq_seed_averaging.md,machine_artifact_or_run_metric_plus_primary_report
team_a_current:EXP-015,submission:submission_experimental_f4.csv,produced_or_described_submission,unknown,experiments/team_a_current/exp_015_last_fold_only.md,medium; exact LB-to-file mapping absent
team_a_current:EXP-015,submission:submission_experimental_f4_mix.csv,produced_or_described_submission,unknown,experiments/team_a_current/exp_015_last_fold_only.md,medium; exact LB-to-file mapping absent
team_a_current:EXP-016,submission:submission_candidate_e11mix.csv,component_or_lineage_to_confirmed_submission,"log-space blend S1-E10=0.10, S1-E02=0.35, S1-DIST=0.30, S1-E11=0.25","[""experiments/exp_016_validator_calibration.md"",""git HEAD:experiments/submissions.csv"",""submission artifact""]",strong_repository_link
team_a_current:EXP-016,submission:submission_candidate_e11mix.csv,produced_or_described_submission,unknown,experiments/team_a_current/exp_016_validator_calibration.md,high local; LB author-reported
team_a_current:EXP-017,team_a_current:EXP-018,baseline_to_change,average seeds 42-46,experiments/team_a_current/exp_018_seed_average.md,high
team_a_current:EXP-017,team_a_current:EXP-022,baseline_to_change,cutoff step 7 to 3 days with row fraction 0.422 to equalize volume,experiments/team_a_current/exp_022_dense_temporal_grid.md,machine_artifact_or_run_metric_plus_primary_report
team_a_current:EXP-018,team_a_current:EXP-020,baseline_to_change,train_blocks 1 to 0 with same capacity/seed average,experiments/team_a_current/exp_020_train_blocks_zero.md,machine_artifact_or_run_metric_plus_primary_report
team_a_current:EXP-018,team_a_current:EXP-021,baseline_to_change,add 30 personal-time features with shuffled control,experiments/team_a_current/exp_021_personal_time.md,machine_artifact_or_run_metric_plus_primary_report
team_a_current:EXP-023,submission:submission_HOLIDAY-YOY.csv,produced_or_described_submission,unknown,experiments/team_a_current/exp_023_holiday_yoy.md,machine_artifact_or_run_metric_plus_primary_report
team_a_current:EXP-025,submission:submission_SEQ01_mix.csv,component_or_lineage_to_confirmed_submission,"log-space blend S1-NORM=0.15, S1-UNC=0.20, S1-CAP=0.10, S1-DIST=0.25, SEQ-01=0.30; SEQ test depth clipped to 289","[""experiments/exp_025_sequence_encoder.md"",""git HEAD:experiments/submissions.csv"",""submission artifact""]",strong_repository_link
team_a_current:EXP-025,submission:submission_SEQ01_mix.csv,produced_or_described_submission,unknown,experiments/team_a_current/exp_025_sequence_encoder.md,machine_artifact_or_run_metric_plus_primary_report
