component_id,pairing_status,experiment_association,matched_run_id,primary_report_reference,link_status,oof_artifacts,test_artifacts,model_artifacts,notes
DETSEQ01-S42-V1016:snapshot_step_01000,model_only,component_family:fresh;team_a:exp_025;team_a:exp_044,SEQ-01-S42-V1016,no,linked_by_artifact_path_association,unknown,unknown,artifacts/FRESH_COND_FT_EXP044/baselines/DETSEQ01-S42-V1016/snapshot_step_01000.pt,Orphan candidate means no mechanical link was recovered; it does not assert the artifact was unused.
DETSEQ01-S42-V1016:snapshot_step_04842,model_only,component_family:fresh;team_a:exp_025;team_a:exp_044,SEQ-01-S42-V1016,no,linked_by_artifact_path_association,unknown,unknown,artifacts/FRESH_COND_FT_EXP044/baselines/DETSEQ01-S42-V1016/snapshot_step_04842.pt,Orphan candidate means no mechanical link was recovered; it does not assert the artifact was unused.
DETSEQ01-S42-V1016:snapshot_step_09684,model_only,component_family:fresh;team_a:exp_025;team_a:exp_044,SEQ-01-S42-V1016,no,linked_by_artifact_path_association,unknown,unknown,artifacts/FRESH_COND_FT_EXP044/baselines/DETSEQ01-S42-V1016/snapshot_step_09684.pt,Orphan candidate means no mechanical link was recovered; it does not assert the artifact was unused.
DETSEQ01-S42-V1016:snapshot_step_14526,model_only,component_family:fresh;team_a:exp_025;team_a:exp_044,SEQ-01-S42-V1016,no,linked_by_artifact_path_association,unknown,unknown,artifacts/FRESH_COND_FT_EXP044/baselines/DETSEQ01-S42-V1016/snapshot_step_14526.pt,Orphan candidate means no mechanical link was recovered; it does not assert the artifact was unused.
DETSEQ01-S42-V1016:snapshot_step_19368,model_only,component_family:fresh;team_a:exp_025;team_a:exp_044,SEQ-01-S42-V1016,no,linked_by_artifact_path_association,unknown,unknown,artifacts/FRESH_COND_FT_EXP044/baselines/DETSEQ01-S42-V1016/snapshot_step_19368.pt,Orphan candidate means no mechanical link was recovered; it does not assert the artifact was unused.
DETSEQ01-S43-V1016,model_only,team_a:exp_025,SEQ-01-S43-V1016,no,linked_by_artifact_path_association,unknown,unknown,artifacts/model_DETSEQ01-S43-V1016.pt,Orphan candidate means no mechanical link was recovered; it does not assert the artifact was unused.
DETSEQ01-S43-V1016:snapshot_step_00000,model_only,component_family:fresh;team_a:exp_025;team_a:exp_044,SEQ-01-S43-V1016,no,linked_by_artifact_path_association,unknown,unknown,artifacts/FRESH_COND_FT_EXP044/baselines/DETSEQ01-S43-V1016/snapshot_step_00000.pt,Orphan candidate means no mechanical link was recovered; it does not assert the artifact was unused.
DETSEQ01-S43-V1016:snapshot_step_00001,model_only,component_family:fresh;team_a:exp_025;team_a:exp_044,SEQ-01-S43-V1016,no,linked_by_artifact_path_association,unknown,unknown,artifacts/FRESH_COND_FT_EXP044/baselines/DETSEQ01-S43-V1016/snapshot_step_00001.pt,Orphan candidate means no mechanical link was recovered; it does not assert the artifact was unused.
DETSEQ01-S43-V1016:snapshot_step_00100,model_only,component_family:fresh;team_a:exp_025;team_a:exp_044,SEQ-01-S43-V1016,no,linked_by_artifact_path_association,unknown,unknown,artifacts/FRESH_COND_FT_EXP044/baselines/DETSEQ01-S43-V1016/snapshot_step_00100.pt,Orphan candidate means no mechanical link was recovered; it does not assert the artifact was unused.
DETSEQ01-S43-V1016:snapshot_step_01000,model_only,component_family:fresh;team_a:exp_025;team_a:exp_044,SEQ-01-S43-V1016,no,linked_by_artifact_path_association,unknown,unknown,artifacts/FRESH_COND_FT_EXP044/baselines/DETSEQ01-S43-V1016/snapshot_step_01000.pt,Orphan candidate means no mechanical link was recovered; it does not assert the artifact was unused.
DETSEQ01-S43-V1016:snapshot_step_04842,model_only,component_family:fresh;team_a:exp_025;team_a:exp_044,SEQ-01-S43-V1016,no,linked_by_artifact_path_association,unknown,unknown,artifacts/FRESH_COND_FT_EXP044/baselines/DETSEQ01-S43-V1016/snapshot_step_04842.pt,Orphan candidate means no mechanical link was recovered; it does not assert the artifact was unused.
DETSEQ01-S43-V1016:snapshot_step_09684,model_only,component_family:fresh;team_a:exp_025;team_a:exp_044,SEQ-01-S43-V1016,no,linked_by_artifact_path_association,unknown,unknown,artifacts/FRESH_COND_FT_EXP044/baselines/DETSEQ01-S43-V1016/snapshot_step_09684.pt,Orphan candidate means no mechanical link was recovered; it does not assert the artifact was unused.
DETSEQ01-S43-V1016:snapshot_step_14526,model_only,component_family:fresh;team_a:exp_025;team_a:exp_044,SEQ-01-S43-V1016,no,linked_by_artifact_path_association,unknown,unknown,artifacts/FRESH_COND_FT_EXP044/baselines/DETSEQ01-S43-V1016/snapshot_step_14526.pt,Orphan candidate means no mechanical link was recovered; it does not assert the artifact was unused.
DETSEQ01-S43-V1016:snapshot_step_19368,model_only,component_family:fresh;team_a:exp_025;team_a:exp_044,SEQ-01-S43-V1016,no,linked_by_artifact_path_association,unknown,unknown,artifacts/FRESH_COND_FT_EXP044/baselines/DETSEQ01-S43-V1016/snapshot_step_19368.pt,Orphan candidate means no mechanical link was recovered; it does not assert the artifact was unused.
DETSEQ01-S44-V1016,model_only,team_a:exp_025,SEQ-01-S44-V1016,no,linked_by_artifact_path_association,unknown,unknown,artifacts/model_DETSEQ01-S44-V1016.pt,Orphan candidate means no mechanical link was recovered; it does not assert the artifact was unused.
DETSEQ01-S44-V1016:snapshot_step_00000,model_only,component_family:fresh;team_a:exp_025;team_a:exp_044,SEQ-01-S44-V1016,no,linked_by_artifact_path_association,unknown,unknown,artifacts/FRESH_COND_FT_EXP044/baselines/DETSEQ01-S44-V1016/snapshot_step_00000.pt,Orphan candidate means no mechanical link was recovered; it does not assert the artifact was unused.
DETSEQ01-S44-V1016:snapshot_step_00001,model_only,component_family:fresh;team_a:exp_025;team_a:exp_044,SEQ-01-S44-V1016,no,linked_by_artifact_path_association,unknown,unknown,artifacts/FRESH_COND_FT_EXP044/baselines/DETSEQ01-S44-V1016/snapshot_step_00001.pt,Orphan candidate means no mechanical link was recovered; it does not assert the artifact was unused.
DETSEQ01-S44-V1016:snapshot_step_00100,model_only,component_family:fresh;team_a:exp_025;team_a:exp_044,SEQ-01-S44-V1016,no,linked_by_artifact_path_association,unknown,unknown,artifacts/FRESH_COND_FT_EXP044/baselines/DETSEQ01-S44-V1016/snapshot_step_00100.pt,Orphan candidate means no mechanical link was recovered; it does not assert the artifact was unused.
DETSEQ01-S44-V1016:snapshot_step_01000,model_only,component_family:fresh;team_a:exp_025;team_a:exp_044,SEQ-01-S44-V1016,no,linked_by_artifact_path_association,unknown,unknown,artifacts/FRESH_COND_FT_EXP044/baselines/DETSEQ01-S44-V1016/snapshot_step_01000.pt,Orphan candidate means no mechanical link was recovered; it does not assert the artifact was unused.
DETSEQ01-S44-V1016:snapshot_step_04842,model_only,component_family:fresh;team_a:exp_025;team_a:exp_044,SEQ-01-S44-V1016,no,linked_by_artifact_path_association,unknown,unknown,artifacts/FRESH_COND_FT_EXP044/baselines/DETSEQ01-S44-V1016/snapshot_step_04842.pt,Orphan candidate means no mechanical link was recovered; it does not assert the artifact was unused.
DETSEQ01-S44-V1016:snapshot_step_09684,model_only,component_family:fresh;team_a:exp_025;team_a:exp_044,SEQ-01-S44-V1016,no,linked_by_artifact_path_association,unknown,unknown,artifacts/FRESH_COND_FT_EXP044/baselines/DETSEQ01-S44-V1016/snapshot_step_09684.pt,Orphan candidate means no mechanical link was recovered; it does not assert the artifact was unused.
DETSEQ01-S44-V1016:snapshot_step_14526,model_only,component_family:fresh;team_a:exp_025;team_a:exp_044,SEQ-01-S44-V1016,no,linked_by_artifact_path_association,unknown,unknown,artifacts/FRESH_COND_FT_EXP044/baselines/DETSEQ01-S44-V1016/snapshot_step_14526.pt,Orphan candidate means no mechanical link was recovered; it does not assert the artifact was unused.
DETSEQ01-S44-V1016:snapshot_step_19368,model_only,component_family:fresh;team_a:exp_025;team_a:exp_044,SEQ-01-S44-V1016,no,linked_by_artifact_path_association,unknown,unknown,artifacts/FRESH_COND_FT_EXP044/baselines/DETSEQ01-S44-V1016/snapshot_step_19368.pt,Orphan candidate means no mechanical link was recovered; it does not assert the artifact was unused.
DOMAIN-01-DIRECT,oof_only,independent_domain:exp_028,unknown,no,linked_by_artifact_path_association,linked_worktree/independent_domain/artifacts/domain_01/oof_DOMAIN-01-DIRECT.npz,unknown,unknown,Orphan candidate means no mechanical link was recovered; it does not assert the artifact was unused.
DOMAIN-01-DIRECT_20250904,oof_only,independent_domain:exp_028,unknown,no,linked_by_artifact_path_association,linked_worktree/independent_domain/artifacts/domain_01/oof_DOMAIN-01-DIRECT_20250904.npz,unknown,linked_worktree/independent_domain/artifacts/domain_01/model_DOMAIN-01-DIRECT_20250904.txt,Orphan candidate means no mechanical link was recovered; it does not assert the artifact was unused.
DOMAIN-01-DIRECT_20250918,oof_only,independent_domain:exp_028,unknown,no,linked_by_artifact_path_association,linked_worktree/independent_domain/artifacts/domain_01/oof_DOMAIN-01-DIRECT_20250918.npz,unknown,linked_worktree/independent_domain/artifacts/domain_01/model_DOMAIN-01-DIRECT_20250918.txt,Orphan candidate means no mechanical link was recovered; it does not assert the artifact was unused.
DOMAIN-01-DIRECT_20251002,oof_only,independent_domain:exp_028,unknown,no,linked_by_artifact_path_association,linked_worktree/independent_domain/artifacts/domain_01/oof_DOMAIN-01-DIRECT_20251002.npz,unknown,linked_worktree/independent_domain/artifacts/domain_01/model_DOMAIN-01-DIRECT_20251002.txt,Orphan candidate means no mechanical link was recovered; it does not assert the artifact was unused.
DOMAIN-01-DIRECT_20251016,oof_only,independent_domain:exp_028,unknown,no,linked_by_artifact_path_association,linked_worktree/independent_domain/artifacts/domain_01/oof_DOMAIN-01-DIRECT_20251016.npz,unknown,linked_worktree/independent_domain/artifacts/domain_01/model_DOMAIN-01-DIRECT_20251016.txt,Orphan candidate means no mechanical link was recovered; it does not assert the artifact was unused.
ETX-01-S42,oof_and_test,component_family:etx,ETX-01-S42,yes,linked_to_run_metric_id,artifacts/oof_ETX-01-S42.npz,artifacts/ztest_ETX-01-S42.npy,unknown,Orphan candidate means no mechanical link was recovered; it does not assert the artifact was unused.
ETX-01-S42-DC,test_only,component_family:etx,ETX-01-S42,no,linked_to_run_metric_id,unknown,artifacts/ztest_ETX-01-S42-DC.npy,unknown,Orphan candidate means no mechanical link was recovered; it does not assert the artifact was unused.
ETX-01-S42-DCW,test_only,component_family:etx,ETX-01-S42,no,linked_to_run_metric_id,unknown,artifacts/ztest_ETX-01-S42-DCW.npy;пайплайн сокомандника/friend_original/submission_STRONGEST_CURRENT/artifacts/predictions/ztest_ETX-01-S42-DCW.npy,unknown,Orphan candidate means no mechanical link was recovered; it does not assert the artifact was unused.
ETX-01-S42-FULL,test_only,component_family:etx,ETX-01-S42,no,linked_to_run_metric_id,unknown,artifacts/ztest_ETX-01-S42-FULL.npy,unknown,Orphan candidate means no mechanical link was recovered; it does not assert the artifact was unused.
ETX-01-S42-TEST,model_only,component_family:etx,ETX-01-S42,yes,linked_to_run_metric_id,unknown,unknown,artifacts/model_ETX-01-S42-TEST.pt;пайплайн сокомандника/friend_original/submission_STRONGEST_CURRENT/artifacts/models/model_ETX-01-S42-TEST.pt,Orphan candidate means no mechanical link was recovered; it does not assert the artifact was unused.
ETX-01-S42-V0904,oof_only,component_family:etx,ETX-01-S42-V0904,yes,linked_to_run_metric_id,artifacts/oof_ETX-01-S42-V0904.npz,unknown,artifacts/model_ETX-01-S42-V0904.pt,Orphan candidate means no mechanical link was recovered; it does not assert the artifact was unused.
ETX-01-S42-V0918,oof_only,component_family:etx,ETX-01-S42-V0918,no,linked_to_run_metric_id,artifacts/oof_ETX-01-S42-V0918.npz,unknown,artifacts/model_ETX-01-S42-V0918.pt,Orphan candidate means no mechanical link was recovered; it does not assert the artifact was unused.
ETX-01-S42-V1002,oof_only,component_family:etx,ETX-01-S42-V1002,no,linked_to_run_metric_id,artifacts/oof_ETX-01-S42-V1002.npz,unknown,artifacts/model_ETX-01-S42-V1002.pt,Orphan candidate means no mechanical link was recovered; it does not assert the artifact was unused.
ETX-01-S42-V1016,oof_only,component_family:etx,ETX-01-S42-V1016,yes,linked_to_run_metric_id,artifacts/oof_ETX-01-S42-V1016.npz,unknown,artifacts/model_ETX-01-S42-V1016.pt,Orphan candidate means no mechanical link was recovered; it does not assert the artifact was unused.
ETX-01-S43,oof_and_test,component_family:etx,ETX-01-S43,yes,linked_to_run_metric_id,artifacts/oof_ETX-01-S43.npz,artifacts/ztest_ETX-01-S43.npy,unknown,Orphan candidate means no mechanical link was recovered; it does not assert the artifact was unused.
ETX-01-S43-DCW,test_only,component_family:etx,ETX-01-S43,no,linked_to_run_metric_id,unknown,artifacts/ztest_ETX-01-S43-DCW.npy;пайплайн сокомандника/friend_original/submission_STRONGEST_CURRENT/artifacts/predictions/ztest_ETX-01-S43-DCW.npy,unknown,Orphan candidate means no mechanical link was recovered; it does not assert the artifact was unused.
ETX-01-S43-FULL,test_only,component_family:etx,ETX-01-S43,no,linked_to_run_metric_id,unknown,artifacts/ztest_ETX-01-S43-FULL.npy,unknown,Orphan candidate means no mechanical link was recovered; it does not assert the artifact was unused.
ETX-01-S43-TEST,model_only,component_family:etx,ETX-01-S43,no,linked_to_run_metric_id,unknown,unknown,artifacts/model_ETX-01-S43-TEST.pt;пайплайн сокомандника/friend_original/submission_STRONGEST_CURRENT/artifacts/models/model_ETX-01-S43-TEST.pt,Orphan candidate means no mechanical link was recovered; it does not assert the artifact was unused.
ETX-01-S43-V0904,oof_only,component_family:etx,ETX-01-S43-V0904,no,linked_to_run_metric_id,artifacts/oof_ETX-01-S43-V0904.npz,unknown,unknown,Orphan candidate means no mechanical link was recovered; it does not assert the artifact was unused.
ETX-01-S43-V0918,oof_only,component_family:etx,ETX-01-S43-V0918,no,linked_to_run_metric_id,artifacts/oof_ETX-01-S43-V0918.npz,unknown,unknown,Orphan candidate means no mechanical link was recovered; it does not assert the artifact was unused.
ETX-01-S43-V1002,oof_only,component_family:etx,ETX-01-S43-V1002,no,linked_to_run_metric_id,artifacts/oof_ETX-01-S43-V1002.npz,unknown,unknown,Orphan candidate means no mechanical link was recovered; it does not assert the artifact was unused.
ETX-01-S43-V1016,oof_only,component_family:etx,ETX-01-S43-V1016,no,linked_to_run_metric_id,artifacts/oof_ETX-01-S43-V1016.npz,unknown,unknown,Orphan candidate means no mechanical link was recovered; it does not assert the artifact was unused.
ETX-01-S44,oof_and_test,component_family:etx,ETX-01-S44,yes,linked_to_run_metric_id,artifacts/oof_ETX-01-S44.npz,artifacts/ztest_ETX-01-S44.npy,unknown,Orphan candidate means no mechanical link was recovered; it does not assert the artifact was unused.
ETX-01-S44-DCW,test_only,component_family:etx,ETX-01-S44,no,linked_to_run_metric_id,unknown,artifacts/ztest_ETX-01-S44-DCW.npy;пайплайн сокомандника/friend_original/submission_STRONGEST_CURRENT/artifacts/predictions/ztest_ETX-01-S44-DCW.npy,unknown,Orphan candidate means no mechanical link was recovered; it does not assert the artifact was unused.
ETX-01-S44-FULL,test_only,component_family:etx,ETX-01-S44,no,linked_to_run_metric_id,unknown,artifacts/ztest_ETX-01-S44-FULL.npy,unknown,Orphan candidate means no mechanical link was recovered; it does not assert the artifact was unused.
ETX-01-S44-TEST,model_only,component_family:etx,ETX-01-S44,no,linked_to_run_metric_id,unknown,unknown,artifacts/model_ETX-01-S44-TEST.pt;пайплайн сокомандника/friend_original/submission_STRONGEST_CURRENT/artifacts/models/model_ETX-01-S44-TEST.pt,Orphan candidate means no mechanical link was recovered; it does not assert the artifact was unused.
ETX-01-S44-V0904,oof_only,component_family:etx,ETX-01-S44-V0904,no,linked_to_run_metric_id,artifacts/oof_ETX-01-S44-V0904.npz,unknown,artifacts/model_ETX-01-S44-V0904.pt,Orphan candidate means no mechanical link was recovered; it does not assert the artifact was unused.
ETX-01-S44-V0918,oof_only,component_family:etx,ETX-01-S44-V0918,no,linked_to_run_metric_id,artifacts/oof_ETX-01-S44-V0918.npz,unknown,artifacts/model_ETX-01-S44-V0918.pt,Orphan candidate means no mechanical link was recovered; it does not assert the artifact was unused.
ETX-01-S44-V1002,oof_only,component_family:etx,ETX-01-S44-V1002,no,linked_to_run_metric_id,artifacts/oof_ETX-01-S44-V1002.npz,unknown,artifacts/model_ETX-01-S44-V1002.pt,Orphan candidate means no mechanical link was recovered; it does not assert the artifact was unused.
ETX-01-S44-V1016,oof_only,component_family:etx,ETX-01-S44-V1016,no,linked_to_run_metric_id,artifacts/oof_ETX-01-S44-V1016.npz,unknown,unknown,Orphan candidate means no mechanical link was recovered; it does not assert the artifact was unused.
ETX-AVG2,oof_only,component_family:etx,ETX-AVG2,no,linked_to_run_metric_id,artifacts/oof_ETX-AVG2.npz,unknown,unknown,Orphan candidate means no mechanical link was recovered; it does not assert the artifact was unused.
ETX-AVG2-V0904,oof_only,component_family:etx,unknown,no,orphan_candidate,artifacts/oof_ETX-AVG2-V0904.npz,unknown,unknown,Orphan candidate means no mechanical link was recovered; it does not assert the artifact was unused.
ETX-AVG2-V0918,oof_only,component_family:etx,unknown,no,orphan_candidate,artifacts/oof_ETX-AVG2-V0918.npz,unknown,unknown,Orphan candidate means no mechanical link was recovered; it does not assert the artifact was unused.
ETX-AVG2-V1002,oof_only,component_family:etx,unknown,no,orphan_candidate,artifacts/oof_ETX-AVG2-V1002.npz,unknown,unknown,Orphan candidate means no mechanical link was recovered; it does not assert the artifact was unused.
ETX-AVG2-V1016,oof_only,component_family:etx,unknown,no,orphan_candidate,artifacts/oof_ETX-AVG2-V1016.npz,unknown,unknown,Orphan candidate means no mechanical link was recovered; it does not assert the artifact was unused.
ETX-AVG3,oof_only,component_family:etx,ETX-AVG3,yes,linked_to_run_metric_id,artifacts/oof_ETX-AVG3.npz,unknown,unknown,Orphan candidate means no mechanical link was recovered; it does not assert the artifact was unused.
ETX-AVG3-V0904,oof_only,component_family:etx,unknown,no,orphan_candidate,artifacts/oof_ETX-AVG3-V0904.npz,unknown,unknown,Orphan candidate means no mechanical link was recovered; it does not assert the artifact was unused.
ETX-AVG3-V0918,oof_only,component_family:etx,unknown,no,orphan_candidate,artifacts/oof_ETX-AVG3-V0918.npz,unknown,unknown,Orphan candidate means no mechanical link was recovered; it does not assert the artifact was unused.
ETX-AVG3-V1002,oof_only,component_family:etx,unknown,no,orphan_candidate,artifacts/oof_ETX-AVG3-V1002.npz,unknown,unknown,Orphan candidate means no mechanical link was recovered; it does not assert the artifact was unused.
ETX-AVG3-V1016,oof_only,component_family:etx,unknown,no,orphan_candidate,artifacts/oof_ETX-AVG3-V1016.npz,unknown,unknown,Orphan candidate means no mechanical link was recovered; it does not assert the artifact was unused.
ETX-CKPT1016-DC,test_only,component_family:etx,unknown,no,orphan_candidate,unknown,artifacts/ztest_ETX-CKPT1016-DC.npy,unknown,Orphan candidate means no mechanical link was recovered; it does not assert the artifact was unused.
EXP-MIN,test_only,unknown,EXP-MIN,yes,linked_to_run_metric_id,unknown,artifacts/ztest_EXP-MIN.npy,unknown,Orphan candidate means no mechanical link was recovered; it does not assert the artifact was unused.
EXP-SIM,test_only,unknown,EXP-SIM,yes,linked_to_run_metric_id,unknown,artifacts/ztest_EXP-SIM.npy,unknown,Orphan candidate means no mechanical link was recovered; it does not assert the artifact was unused.
FINGERPRINT_EXP058:manifest,model_only,team_a:exp_058,FINGERPRINT_EXP058,no,linked_by_artifact_path_association,unknown,unknown,research/strategies/results/FINGERPRINT_EXP058/model_manifest.json,Orphan candidate means no mechanical link was recovered; it does not assert the artifact was unused.
FNL-BASE-E3-L00-S42-V1016,oof_only,component_family:fnl,FNL-BASE-E3-L00-S42-V1016,no,linked_to_run_metric_id,artifacts/oof_FNL-BASE-E3-L00-S42-V1016.npz,unknown,artifacts/model_FNL-BASE-E3-L00-S42-V1016.pt,Orphan candidate means no mechanical link was recovered; it does not assert the artifact was unused.
FNL-BASE-L00-S42-V1016,oof_only,component_family:fnl,FNL-BASE-L00-S42-V1016,no,linked_to_run_metric_id,artifacts/oof_FNL-BASE-L00-S42-V1016.npz,unknown,artifacts/model_FNL-BASE-L00-S42-V1016.pt,Orphan candidate means no mechanical link was recovered; it does not assert the artifact was unused.
FNL-BASER2-L00-S42-V1016,oof_only,component_family:fnl,FNL-BASER2-L00-S42-V1016,no,linked_to_run_metric_id,artifacts/oof_FNL-BASER2-L00-S42-V1016.npz,unknown,artifacts/model_FNL-BASER2-L00-S42-V1016.pt,Orphan candidate means no mechanical link was recovered; it does not assert the artifact was unused.
FNL-BUYCTRL-L10-S42-V1016,oof_only,component_family:fnl,FNL-BUYCTRL-L10-S42-V1016,no,linked_to_run_metric_id,artifacts/oof_FNL-BUYCTRL-L10-S42-V1016.npz,unknown,artifacts/model_FNL-BUYCTRL-L10-S42-V1016.pt,Orphan candidate means no mechanical link was recovered; it does not assert the artifact was unused.
FNL-BUYCTRL-L30-S42-V1016,oof_only,component_family:fnl,FNL-BUYCTRL-L30-S42-V1016,no,linked_to_run_metric_id,artifacts/oof_FNL-BUYCTRL-L30-S42-V1016.npz,unknown,artifacts/model_FNL-BUYCTRL-L30-S42-V1016.pt,Orphan candidate means no mechanical link was recovered; it does not assert the artifact was unused.
FNL-CART-L10-S42-V1016,oof_only,component_family:fnl,FNL-CART-L10-S42-V1016,no,linked_to_run_metric_id,artifacts/oof_FNL-CART-L10-S42-V1016.npz,unknown,artifacts/model_FNL-CART-L10-S42-V1016.pt,Orphan candidate means no mechanical link was recovered; it does not assert the artifact was unused.
FNL-CART-L30-S42-V1016,oof_only,component_family:fnl,FNL-CART-L30-S42-V1016,no,linked_to_run_metric_id,artifacts/oof_FNL-CART-L30-S42-V1016.npz,unknown,artifacts/model_FNL-CART-L30-S42-V1016.pt,Orphan candidate means no mechanical link was recovered; it does not assert the artifact was unused.
FNL-FUNNEL-L10-S42-V1016,oof_only,component_family:fnl,FNL-FUNNEL-L10-S42-V1016,no,linked_to_run_metric_id,artifacts/oof_FNL-FUNNEL-L10-S42-V1016.npz,unknown,artifacts/model_FNL-FUNNEL-L10-S42-V1016.pt,Orphan candidate means no mechanical link was recovered; it does not assert the artifact was unused.
FNL-FUNNEL-L30-S42-V1016,oof_only,component_family:fnl,FNL-FUNNEL-L30-S42-V1016,no,linked_to_run_metric_id,artifacts/oof_FNL-FUNNEL-L30-S42-V1016.npz,unknown,artifacts/model_FNL-FUNNEL-L30-S42-V1016.pt,Orphan candidate means no mechanical link was recovered; it does not assert the artifact was unused.
FRESH_CONTRAST_MOE,oof_only,component_family:fresh;team_a:exp_040,FRESH-CONTRAST-MOE,yes,linked_by_artifact_path_association,artifacts/oof_FRESH_CONTRAST_MOE.npz,unknown,unknown,Orphan candidate means no mechanical link was recovered; it does not assert the artifact was unused.
GAP-DIST-K5-G030-S42,oof_only,component_family:gap,GAP-DIST-K5-G030-S42,no,linked_to_run_metric_id,artifacts/oof_GAP-DIST-K5-G030-S42.npz,unknown,unknown,Orphan candidate means no mechanical link was recovered; it does not assert the artifact was unused.
GAP-DIST-K5-G030-S42-R100,oof_only,component_family:gap,GAP-DIST-K5-G030-S42-R100,no,linked_to_run_metric_id,artifacts/oof_GAP-DIST-K5-G030-S42-R100.npz,unknown,unknown,Orphan candidate means no mechanical link was recovered; it does not assert the artifact was unused.
GAP-DIST-K5-G030-S42-R150,oof_only,component_family:gap,GAP-DIST-K5-G030-S42-R150,no,linked_to_run_metric_id,artifacts/oof_GAP-DIST-K5-G030-S42-R150.npz,unknown,unknown,Orphan candidate means no mechanical link was recovered; it does not assert the artifact was unused.
GAP-DIST-K5-G030-S42-R200,oof_only,component_family:gap,GAP-DIST-K5-G030-S42-R200,no,linked_to_run_metric_id,artifacts/oof_GAP-DIST-K5-G030-S42-R200.npz,unknown,unknown,Orphan candidate means no mechanical link was recovered; it does not assert the artifact was unused.
GAP-DIST-K5-G030-S42-R50,oof_only,component_family:gap,GAP-DIST-K5-G030-S42-R50,no,linked_to_run_metric_id,artifacts/oof_GAP-DIST-K5-G030-S42-R50.npz,unknown,unknown,Orphan candidate means no mechanical link was recovered; it does not assert the artifact was unused.
